problem_name,ptype,xtype,dim,mb,ml,mu,mcon,mlcon,mnlcon,m_ub,m_eq,m_linear_ub,m_linear_eq,m_nonlinear_ub,m_nonlinear_eq,f0,isfeasibility,isgrad,ishess,isjcub,isjceq,ishcub,ishceq,argins,dims,mbs,mls,mus,mcons,mlcons,mnlcons,m_ubs,m_eqs,m_linear_ubs,m_linear_eqs,m_nonlinear_ubs,m_nonlinear_eqs,f0s
ANTWERP,l,r,27,51,27,24,10,10,0,2,8,2,8,0,0,586934394.7831994,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ARGLCLE,l,r,200,0,0,0,399,399,0,0,399,0,399,0,0,-1.0,0,1,1,1,1,1,1,"{'N':10,'M':20}{'N':10,'M':100}{'N':10,'M':200}{'N':10,'M':400}{'N':50,'M':20}{'N':50,'M':100}{'N':50,'M':200}{'N':50,'M':400}{'N':100,'M':20}{'N':100,'M':100}{'N':100,'M':200}{'N':100,'M':400}{'N':200,'M':20}{'N':200,'M':100}{'N':200,'M':200}",10 10 10 10 50 50 50 50 100 100 100 100 200 200 200,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 99 199 399 19 99 199 399 19 99 199 399 19 99 199,19 99 199 399 19 99 199 399 19 99 199 399 19 99 199,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 99 199 399 19 99 199 399 19 99 199 399 19 99 199,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 99 199 399 19 99 199 399 19 99 199 399 19 99 199,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0
ARGLINA,u,r,200,0,0,0,0,0,0,0,0,0,0,0,0,999.999999999974,0,1,1,1,1,1,1,"{'N':10,'M':20}{'N':10,'M':100}{'N':10,'M':200}{'N':10,'M':400}{'N':50,'M':20}{'N':50,'M':100}{'N':50,'M':200}{'N':50,'M':400}{'N':100,'M':20}{'N':100,'M':100}{'N':100,'M':200}{'N':100,'M':400}{'N':200,'M':20}{'N':200,'M':100}{'N':200,'M':200}",10 10 10 10 50 50 50 50 100 100 100 100 200 200 200,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,50.00000000000003 129.9999999999999 230.00000000000037 430.00000000000176 1250.0 250.00000000000003 350.00000000000006 549.9999999999987 9999.999999999982 400.0000000000001 500.00000000000006 699.9999999999901 80000.00000000003 3200.0000000000005 799.9999999999969
ARGLINB,u,r,200,0,0,0,0,0,0,0,0,0,0,0,0,8651224509960400.0,0,1,1,1,1,1,1,"{'N':10,'M':20}{'N':10,'M':100}{'N':10,'M':200}{'N':10,'M':400}{'N':50,'M':20}{'N':50,'M':100}{'N':50,'M':200}{'N':50,'M':400}{'N':100,'M':20}{'N':100,'M':100}{'N':100,'M':200}{'N':100,'M':400}{'N':200,'M':20}{'N':200,'M':100}{'N':200,'M':200}",10 10 10 10 50 50 50 50 100 100 100 100 200 200 200,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8658670.0 1022953350.0 8125056700.0 64766713400.0 4665008270.0 550017341350.0 4367515432700.0 34809953865400.0 73190054020.0 8628719870100.0 68517363740200.0 546094423480400.0 1159500258020.0 136696580490100.0 1085452858980200.0
ARGLINC,u,r,200,0,0,0,0,0,0,0,0,0,0,0,0,8352671057963402.0,0,1,1,1,1,1,1,"{'N':10,'M':20}{'N':10,'M':100}{'N':10,'M':200}{'N':10,'M':400}{'N':50,'M':20}{'N':50,'M':100}{'N':50,'M':200}{'N':50,'M':400}{'N':100,'M':20}{'N':100,'M':100}{'N':100,'M':200}{'N':100,'M':400}{'N':200,'M':20}{'N':200,'M':100}{'N':200,'M':200}",10 10 10 10 50 50 50 50 100 100 100 100 200 200 200,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4067996.0 616284076.0 5045610176.0 40831382376.0 3159234596.0 477230591476.0 3905844923576.0 31602628307776.0 51653202971.0 7802045540851.0 63854440574201.0 516651013610901.0 835094348471.0 126135718498351.0 1032332730996701.0
ARGTRIGLS,u,r,200,0,0,0,0,0,0,0,0,0,0,0,0,66.331534046883,0,1,1,1,1,1,1,{'N':10}{'N':50}{'N':100},10 50 100,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2.9665404653292424 16.326212337569746 32.99641404238618
ARWHDNE,n,r,500,0,0,0,998,499,499,0,998,0,499,0,499,0.0,0,1,1,1,1,1,1,{'N':2}{'N':100}{'N':1000}{'N':5000},2 100 1000 5000,0 0 0 0,0 0 0 0,0 0 0 0,2 198 1998 9998,1 99 999 4999,1 99 999 4999,0 0 0 0,2 198 1998 9998,0 0 0 0,1 99 999 4999,0 0 0 0,1 99 999 4999,0.0 0.0 0.0 0.0
ARWHEAD,u,r,5000,0,0,0,0,0,0,0,0,0,0,0,0,14997.0,0,1,1,1,1,1,1,{'N':100}{'N':500}{'N':1000},100 500 1000,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,297.0 1497.0 2997.0
AVGASA,l,r,8,16,8,8,10,10,0,10,0,10,0,0,0,-8.125,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AVGASB,l,r,8,16,8,8,10,10,0,10,0,10,0,0,0,-7.75,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AVION2,l,r,49,98,49,49,15,15,0,0,15,0,15,0,0,94678644.16796903,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BA-L1,n,r,57,0,0,0,12,0,12,0,12,0,0,0,12,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BA-L1LS,u,r,57,0,0,0,0,0,0,0,0,0,0,0,0,127387.76409354944,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BA-L1SP,n,r,57,0,0,0,12,0,12,0,12,0,0,0,12,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BA-L1SPLS,u,r,57,0,0,0,0,0,0,0,0,0,0,0,0,127387.76400253092,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BA-L21LS,u,r,34134,0,0,0,0,0,0,0,0,0,0,0,0,154479438.0579614,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BA-L49LS,u,r,23769,0,0,0,0,0,0,0,0,0,0,0,0,106306536.39143574,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BA-L73LS,u,r,33753,0,0,0,0,0,0,0,0,0,0,0,0,231575039.6430508,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BARD,u,r,3,0,0,0,0,0,0,0,0,0,0,0,0,41.68169586167801,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BATCH,n,r,48,94,48,46,73,72,1,61,12,60,12,1,0,1500.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BDEXP,b,r,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,1352.8114912330796,0,1,1,1,1,1,1,{'N':100}{'N':500}{'N':1000},100 500 1000,100 500 1000,100 500 1000,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,26.52571551437605 134.7939421036673 270.12922534027996
BDQRTIC,u,r,5000,0,0,0,0,0,0,0,0,0,0,0,0,1129096.0,0,1,1,1,1,1,1,{'N':100}{'N':500}{'N':1000},100 500 1000,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,21696.0 112096.0 225096.0
BDVALUE,n,r,5000,0,0,0,5000,0,5000,0,5000,0,0,0,5000,0.0,0,1,1,1,1,1,1,{'NDP':12}{'NDP':52}{'NDP':102}{'NDP':502}{'NDP':1002},10 50 100 500 1000,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,10 50 100 500 1000,0 0 0 0 0,10 50 100 500 1000,0 0 0 0 0,10 50 100 500 1000,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,10 50 100 500 1000,0.0 0.0 0.0 0.0 0.0
BEALE,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,14.203125,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BENNETT5LS,u,r,3,0,0,0,0,0,0,0,0,0,0,0,0,66022.44665915723,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BIGBANK,l,r,1922,3844,1922,1922,1112,1112,0,0,1112,0,1112,0,0,-5194.402629935322,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BIGGS3,u,r,3,0,0,0,0,0,0,0,0,0,0,0,0,1.6248424420595122,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BIGGS5,u,r,5,0,0,0,0,0,0,0,0,0,0,0,0,1.6248424420595122,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BIGGS6,u,r,6,0,0,0,0,0,0,0,0,0,0,0,0,0.7790700745131637,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BIGGSB1,b,r,5000,9998,4999,4999,0,0,0,0,0,0,0,0,0,2.0,0,1,1,1,1,1,1,{'N':25}{'N':100}{'N':1000}{'N':10000}{'N':20000},25 100 1000 10000 20000,48 198 1998 19998 39998,24 99 999 9999 19999,24 99 999 9999 19999,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,2.0 2.0 2.0 2.0 2.0
BIGGSC4,l,r,4,8,4,4,13,13,0,13,0,13,0,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BLEACHNG,b,r,9,17,9,8,0,0,0,0,0,0,0,0,0,15923.757326879637,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BLOCKQP4,l,r,10010,20020,10010,10010,5001,5001,0,1,5000,1,5000,0,0,626.375,0,1,1,1,1,1,1,"{'N':10,'B':5}{'N':10,'B':10}{'N':10,'B':50}{'N':100,'B':5}{'N':100,'B':10}{'N':100,'B':50}{'N':1000,'B':5}{'N':1000,'B':10}{'N':1000,'B':50}{'N':5000,'B':5}{'N':5000,'B':50}",25 30 70 205 210 250 2005 2010 2050 10005 10050,50 60 140 410 420 500 4010 4020 4100 20010 20100,25 30 70 205 210 250 2005 2010 2050 10005 10050,25 30 70 205 210 250 2005 2010 2050 10005 10050,11 11 11 101 101 101 1001 1001 1001 5001 5001,11 11 11 101 101 101 1001 1001 1001 5001 5001,0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1 1,10 10 10 100 100 100 1000 1000 1000 5000 5000,1 1 1 1 1 1 1 1 1 1 1,10 10 10 100 100 100 1000 1000 1000 5000 5000,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,2.0 2.625 7.625 13.25 13.875 18.875 125.75 126.375 131.375 625.75 631.375
BLOCKQP5,l,r,10010,20020,10010,10010,5001,5001,0,1,5000,1,5000,0,0,626.375,0,1,1,1,1,1,1,"{'N':10,'B':5}{'N':10,'B':10}{'N':10,'B':50}{'N':100,'B':5}{'N':100,'B':10}{'N':100,'B':50}{'N':1000,'B':5}{'N':1000,'B':10}{'N':1000,'B':50}{'N':5000,'B':5}{'N':5000,'B':50}",25 30 70 205 210 250 2005 2010 2050 10005 10050,50 60 140 410 420 500 4010 4020 4100 20010 20100,25 30 70 205 210 250 2005 2010 2050 10005 10050,25 30 70 205 210 250 2005 2010 2050 10005 10050,11 11 11 101 101 101 1001 1001 1001 5001 5001,11 11 11 101 101 101 1001 1001 1001 5001 5001,0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1 1,10 10 10 100 100 100 1000 1000 1000 5000 5000,1 1 1 1 1 1 1 1 1 1 1,10 10 10 100 100 100 1000 1000 1000 5000 5000,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,2.0 2.625 7.625 13.25 13.875 18.875 125.75 126.375 131.375 625.75 631.375
BLOWEYA,l,r,4002,4002,2001,2001,2002,2002,0,0,2002,0,2002,0,0,-0.0003669175,0,1,1,1,1,1,1,{'N':10}{'N':100}{'N':1000}{'N':4000},22 202 2002 8002,22 202 2002 8002,11 101 1001 4001,11 101 1001 4001,12 102 1002 4002,12 102 1002 4002,0 0 0 0,0 0 0 0,12 102 1002 4002,0 0 0 0,12 102 1002 4002,0 0 0 0,0 0 0 0,-0.08999999999999897 -0.007439999999999003 -0.0007343400000001665 -0.00018339593749994165
BLOWEYB,l,r,4002,4002,2001,2001,2002,2002,0,0,2002,0,2002,0,0,-0.0003002505422182,0,1,1,1,1,1,1,{'N':10}{'N':100}{'N':1000}{'N':4000},22 202 2002 8002,22 202 2002 8002,11 101 1001 4001,11 101 1001 4001,12 102 1002 4002,12 102 1002 4002,0 0 0 0,0 0 0 0,12 102 1002 4002,0 0 0 0,12 102 1002 4002,0 0 0 0,0 0 0 0,-0.07444444576888998 -0.006104444577671675 -0.000601004457776888 -0.00015006258277683315
BLOWEYC,l,r,4002,4002,2001,2001,2002,2002,0,0,2002,0,2002,0,0,-0.0003002505522182,0,1,1,1,1,1,1,{'N':10}{'N':100}{'N':1000}{'N':4000},22 202 2002 8002,22 202 2002 8002,11 101 1001 4001,11 101 1001 4001,12 102 1002 4002,12 102 1002 4002,0 0 0 0,0 0 0 0,12 102 1002 4002,0 0 0 0,12 102 1002 4002,0 0 0 0,0 0 0 0,-0.07444444176888965 -0.00610444417767253 -0.0006010044177777729 -0.00015006257277594415
BOX,u,r,10000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,1,1,1,{'N':10}{'N':100}{'N':1000},10 100 1000,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0.0 0.0 0.0
BOX2,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,1.8845685013557425,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BOX3,u,r,3,0,0,0,0,0,0,0,0,0,0,0,0,1.8845685013557425,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BOX3NE,n,r,3,0,0,0,10,0,10,0,10,0,0,0,10,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BOXBODLS,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,186382.3816574575,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BOXPOWER,u,r,20000,0,0,0,0,0,0,0,0,0,0,0,0,176402.156206933,0,1,1,1,1,1,1,{'N':10}{'N':100}{'N':1000}{'N':10000},10 100 1000 10000,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,72.36520693759721 866.2462069375991 8805.05620693754 88193.156206947
BQP1VAR,b,r,1,2,1,1,0,0,0,0,0,0,0,0,0,0.3125,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BQPGABIM,b,r,46,92,46,46,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BQPGASIM,b,r,50,100,50,50,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BQPGAUSS,b,r,2003,4006,2003,2003,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC0,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.0626753890597895,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC1,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,5.036953336513459e-05,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC2,n,r,13805,13805,13805,0,13800,0,13800,0,13800,0,0,0,13800,0.0508478581799522,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC3,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.0713162544086163,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC4,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.106902809685526,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC5,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.0733288166949303,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC6,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.0671487796504611,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC7,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.0653922765445652,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC8,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.0622129267181971,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRAINPC9,n,r,6905,6905,6905,0,6900,0,6900,0,6900,0,0,0,6900,0.1194600598031211,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRATU1D,u,r,5001,0,0,0,0,0,0,0,0,0,0,0,0,1250833399.7059925,0,1,1,1,1,1,1,{'N':11}{'N':75}{'N':101}{'N':501}{'N':1001},11 75 101 501 1001,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,8.680773607227705 4235.052674885176 10334.783418956935 1258349.159041938 10033366.11465631
BRIDGEND,n,r,2734,1325,1311,14,2727,1304,1423,0,2727,0,1304,0,1423,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRITGAS,n,r,450,474,450,24,360,0,360,0,360,0,0,0,360,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BRKMCC,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BROWNAL,u,r,200,0,0,0,0,0,0,0,0,0,0,0,0,2009950.748047829,0,1,1,1,1,1,1,{'N':10}{'N':100}{'N':1000},10 100 1000,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,273.2480478286743 252475.74804782867 250249750.74804783
BROWNALE,n,r,200,0,0,0,200,199,1,0,200,0,199,0,1,0.0,0,1,1,1,1,1,1,{'N':10}{'N':100}{'N':1000},10 100 1000,0 0 0,0 0 0,0 0 0,10 100 1000,9 99 999,1 1 1,0 0 0,10 100 1000,0 0 0,9 99 999,0 0 0,1 1 1,0.0 0.0 0.0
BROWNBS,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,999998000003.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BROWNDEN,u,r,4,0,0,0,0,0,0,0,0,0,0,0,0,7926693.337455136,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
BROYDN3DLS,u,r,5000,0,0,0,0,0,0,0,0,0,0,0,0,5011.0,0,1,1,1,1,1,1,{'N':10}{'N':50}{'N':100}{'N':500}{'N':1000}{'N':10000},10 50 100 500 1000 10000,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,21.0 61.0 111.0 511.0 1011.0 10011.0
